epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3056.9,1.32162,1.38878,1.71339,0.73884,0.70469,0.75199,0.36981,1.80625,1.21485,2.00728,0.0005941,0.0005941,0.0005941
43,3137.04,1.26194,1.32899,1.66464,0.74382,0.69924,0.74464,0.38932,1.68969,1.23089,1.89526,0.0005842,0.0005842,0.0005842
44,3212.56,1.26578,1.33508,1.66746,0.74116,0.70912,0.74636,0.32016,2.07204,1.37894,2.31741,0.0005743,0.0005743,0.0005743
45,3288.85,1.29695,1.32573,1.67828,0.75634,0.69832,0.75086,0.30047,2.19606,1.36522,2.51444,0.0005644,0.0005644,0.0005644
46,3368.89,1.2679,1.33326,1.6737,0.78391,0.70787,0.76032,0.37598,1.83197,1.17704,2.06264,0.0005545,0.0005545,0.0005545
47,3452.24,1.25112,1.31316,1.65266,0.76004,0.66053,0.7169,0.20053,2.60911,1.39815,3.07979,0.0005446,0.0005446,0.0005446
48,3537.56,1.23072,1.3233,1.63807,0.80274,0.70644,0.78577,0.54242,1.11798,0.99301,1.49266,0.0005347,0.0005347,0.0005347
49,3614.25,1.20844,1.28246,1.61854,0.80591,0.68589,0.76532,0.47119,1.35957,1.05004,1.66993,0.0005248,0.0005248,0.0005248
50,3694.76,1.22994,1.2883,1.63301,0.81937,0.70407,0.78292,0.55792,1.03298,0.9591,1.46131,0.0005149,0.0005149,0.0005149
51,3772.8,1.22758,1.27914,1.63708,0.81516,0.71237,0.79262,0.52098,1.22985,0.95941,1.554,0.000505,0.000505,0.000505
52,3849.6,1.25505,1.2905,1.64374,0.79602,0.70973,0.78242,0.34766,2.00512,1.17204,2.18922,0.0004951,0.0004951,0.0004951
53,3929.12,1.26252,1.27883,1.65172,0.80288,0.73323,0.80523,0.56816,1.04536,0.92467,1.47304,0.0004852,0.0004852,0.0004852
54,4008,1.22411,1.28137,1.63201,0.8084,0.74149,0.81021,0.50719,1.31592,0.96861,1.6051,0.0004753,0.0004753,0.0004753
55,4085.31,1.26236,1.28033,1.63831,0.82252,0.74359,0.81751,0.49217,1.39687,0.96795,1.64804,0.0004654,0.0004654,0.0004654
56,4162.82,1.18342,1.23974,1.59605,0.83144,0.72365,0.80663,0.5564,1.09161,0.91557,1.48313,0.0004555,0.0004555,0.0004555
57,4239.54,1.18202,1.25126,1.59858,0.81768,0.74288,0.8136,0.53402,1.19652,0.92603,1.53314,0.0004456,0.0004456,0.0004456
58,4320.17,1.20626,1.2657,1.61466,0.81127,0.75356,0.81773,0.54838,1.16715,0.92148,1.51129,0.0004357,0.0004357,0.0004357
59,4398.45,1.2116,1.26322,1.62023,0.82165,0.7494,0.81821,0.60297,0.93232,0.88395,1.37539,0.0004258,0.0004258,0.0004258
60,4474.34,1.18674,1.24037,1.58859,0.81409,0.74441,0.81636,0.46179,1.57038,1.02609,1.80696,0.0004159,0.0004159,0.0004159
61,4550.2,1.23364,1.24984,1.61888,0.83228,0.74979,0.82485,0.51986,1.33462,0.93776,1.61502,0.000406,0.000406,0.000406
62,4627.11,1.21432,1.26011,1.61953,0.84527,0.75252,0.82524,0.57284,1.08965,0.89105,1.45871,0.0003961,0.0003961,0.0003961
63,4707.22,1.15609,1.20239,1.56032,0.85216,0.74636,0.82788,0.56839,1.09845,0.91792,1.45989,0.0003862,0.0003862,0.0003862
64,4788.33,1.18672,1.21674,1.60483,0.8725,0.74762,0.83197,0.58837,1.04494,0.89038,1.42695,0.0003763,0.0003763,0.0003763
65,4866.66,1.15451,1.22388,1.57945,0.85857,0.76038,0.83675,0.62838,0.88632,0.83627,1.34508,0.0003664,0.0003664,0.0003664
66,4943.45,1.18133,1.21324,1.58217,0.85214,0.76524,0.83867,0.55881,1.16661,0.89564,1.48825,0.0003565,0.0003565,0.0003565
67,5020.25,1.18944,1.22195,1.60078,0.87003,0.74548,0.83138,0.5716,1.0996,0.87289,1.47773,0.0003466,0.0003466,0.0003466
68,5105.5,1.16758,1.19815,1.56923,0.87498,0.7522,0.83539,0.59879,1.00444,0.83665,1.41589,0.0003367,0.0003367,0.0003367
69,5188.32,1.16431,1.18379,1.56924,0.86051,0.76949,0.8461,0.63057,0.90813,0.81988,1.35995,0.0003268,0.0003268,0.0003268
70,5267.47,1.13937,1.17289,1.54465,0.86286,0.76801,0.84669,0.63462,0.89911,0.80945,1.36337,0.0003169,0.0003169,0.0003169
71,5348.93,1.13275,1.18568,1.54801,0.85492,0.7757,0.84889,0.59285,1.05735,0.82984,1.43509,0.000307,0.000307,0.000307
72,5431.85,1.13736,1.16419,1.54793,0.86521,0.77432,0.85023,0.502,1.46666,0.90992,1.70718,0.0002971,0.0002971,0.0002971
73,5514.64,1.15207,1.19298,1.56925,0.8885,0.77249,0.85441,0.59547,1.09022,0.80875,1.44493,0.0002872,0.0002872,0.0002872
74,5597.97,1.11464,1.15727,1.53679,0.8818,0.77399,0.85219,0.50435,1.49617,0.88905,1.73962,0.0002773,0.0002773,0.0002773
75,5681.91,1.10581,1.14439,1.528,0.85369,0.77876,0.84648,0.42297,1.81085,0.99573,2.04382,0.0002674,0.0002674,0.0002674
76,5765.81,1.13731,1.16986,1.55638,0.87013,0.78158,0.86013,0.635,0.92432,0.79635,1.36018,0.0002575,0.0002575,0.0002575
77,5852.86,1.10863,1.15951,1.53381,0.86206,0.78636,0.8597,0.61632,1.02084,0.80395,1.40061,0.0002476,0.0002476,0.0002476
78,5938.97,1.12255,1.15683,1.53382,0.88402,0.7812,0.86374,0.60814,1.06711,0.80718,1.42852,0.0002377,0.0002377,0.0002377
79,6022.62,1.12702,1.13844,1.54307,0.87649,0.79063,0.8637,0.55313,1.27962,0.85424,1.57417,0.0002278,0.0002278,0.0002278
80,6101.47,1.13846,1.15982,1.55499,0.88063,0.7944,0.86332,0.64791,0.89883,0.77537,1.3525,0.0002179,0.0002179,0.0002179
81,6186.97,1.12092,1.1607,1.54573,0.8846,0.79262,0.86589,0.60914,1.06834,0.80077,1.43519,0.000208,0.000208,0.000208
82,6274.5,1.10869,1.13418,1.52239,0.88706,0.79024,0.867,0.54093,1.36143,0.84914,1.6176,0.0001981,0.0001981,0.0001981
83,6353.84,1.09297,1.14046,1.5224,0.88745,0.78035,0.86268,0.636,0.93683,0.77227,1.35971,0.0001882,0.0001882,0.0001882
84,6444.15,1.08777,1.12967,1.50959,0.89758,0.77753,0.86556,0.6575,0.86223,0.77013,1.32782,0.0001783,0.0001783,0.0001783
85,6536.28,1.07338,1.10938,1.50501,0.88805,0.78483,0.86739,0.65812,0.87606,0.76957,1.33302,0.0001684,0.0001684,0.0001684
86,6623.13,1.08322,1.12517,1.51107,0.89281,0.78577,0.86734,0.66598,0.84621,0.75554,1.31606,0.0001585,0.0001585,0.0001585
87,6703.8,1.08722,1.09749,1.49925,0.88496,0.79779,0.87265,0.66829,0.8517,0.75339,1.31187,0.0001486,0.0001486,0.0001486
88,6781.52,1.05536,1.10389,1.49136,0.88196,0.80522,0.87422,0.67454,0.82328,0.74761,1.29847,0.0001387,0.0001387,0.0001387
89,6857.95,1.04494,1.09103,1.4884,0.87837,0.80036,0.87129,0.67465,0.82554,0.73948,1.30231,0.0001288,0.0001288,0.0001288
90,6933.76,1.07576,1.13832,1.51025,0.88262,0.79749,0.87085,0.67131,0.82885,0.73934,1.30117,0.0001189,0.0001189,0.0001189
91,7009.08,1.30589,1.08568,1.75524,0.88286,0.79134,0.86825,0.6529,0.88874,0.75312,1.33338,0.000109,0.000109,0.000109
92,7084.62,1.15237,1.032,1.62698,0.90165,0.78529,0.87032,0.65932,0.8561,0.7421,1.32523,9.91e-05,9.91e-05,9.91e-05
93,7158.89,1.06299,0.96425,1.53251,0.89465,0.79113,0.87282,0.65182,0.88212,0.74931,1.34045,8.92e-05,8.92e-05,8.92e-05
94,7233.03,1.12497,0.98726,1.55947,0.89166,0.79639,0.87347,0.6649,0.85762,0.76203,1.32527,7.93e-05,7.93e-05,7.93e-05
95,7306.5,1.00971,0.9224,1.49549,0.87434,0.80181,0.87094,0.59902,1.12371,0.83992,1.46596,6.94e-05,6.94e-05,6.94e-05
96,7380.26,0.97797,0.91067,1.4665,0.88665,0.79443,0.87055,0.55307,1.30402,0.89431,1.58458,5.95e-05,5.95e-05,5.95e-05
97,7453.76,0.98963,0.89564,1.4748,0.88043,0.80075,0.87309,0.58495,1.18553,0.85914,1.49969,4.96e-05,4.96e-05,4.96e-05
98,7526.88,0.90641,0.87502,1.3972,0.87725,0.807,0.87523,0.62621,1.02507,0.81389,1.39978,3.97e-05,3.97e-05,3.97e-05
99,7603.5,0.93801,0.87351,1.42207,0.88151,0.80642,0.87744,0.6587,0.89903,0.78162,1.32984,2.98e-05,2.98e-05,2.98e-05
100,7680.75,0.939,0.86819,1.42857,0.88513,0.80775,0.87714,0.6786,0.82641,0.76628,1.29111,1.99e-05,1.99e-05,1.99e-05
